galaxy,ring,variant,noise_model,psf_id,k,observed,predicted,residual,residual_sigma
NGC 1380,outer,winsor_3.0,N(k),stpsf_R2023111002-NRCA3_FP1-1,0.17450186779414617,0.13562764288783807,0.12620209583191577,0.009425547055922301,16.241441883287695
NGC 1380,outer,winsor_3.0,N(k),stpsf_R2023111002-NRCA3_FP1-1,0.1834506815271793,0.12376167758080385,0.11776195025488209,0.005999727325921758,11.565505749402341
NGC 1380,outer,winsor_3.0,N(k),stpsf_R2023111002-NRCA3_FP1-1,0.19239949526021247,0.11017718119043254,0.11000801408658756,0.000169167103844986,0.376000608807726
NGC 1380,outer,winsor_3.0,N(k),stpsf_R2023111002-NRCA3_FP1-1,0.2013483089932456,0.09903857116406162,0.10231439973130156,-0.003275828567239944,-8.227874724740309
NGC 1380,outer,winsor_3.0,N(k),stpsf_R2023111002-NRCA3_FP1-1,0.21029712272627873,0.08788178464575858,0.09535604571011642,-0.007474261064357848,-21.642329779127092
NGC 1380,outer,winsor_3.0,N(k),stpsf_R2023111002-NRCA3_FP1-1,0.21924593645931187,0.07824679437460187,0.08934337120889,-0.011096576834288122,-37.25958089678251
NGC 1380,outer,winsor_3.0,N(k),stpsf_R2023111002-NRCA3_FP1-1,0.228194750192345,0.06900441580697939,0.08332732414366653,-0.014322908336687146,-54.759149121524956
NGC 1380,outer,winsor_3.0,N(k),stpsf_R2023111002-NRCA3_FP1-1,0.23714356392537814,0.0629377345080203,0.07811611218957178,-0.015178377681551475,-65.11971191480394
NGC 1380,outer,winsor_3.0,N(k),stpsf_R2023111002-NRCA3_FP1-1,0.2460923776584113,0.0553988326607591,0.07326069095621147,-0.017861858295452372,-89.49866124553712
NGC 1380,outer,winsor_3.0,constant,stpsf_field_1280_1024,0.04026966179864912,0.5356571250446767,0.48068275691012086,0.05497436813455581,11.444549938158216
NGC 1380,outer,winsor_3.0,constant,stpsf_field_1280_1024,0.04921847553168225,0.4872426749866713,0.4447971466623083,0.04244552832436299,10.69421618636
NGC 1380,outer,winsor_3.0,constant,stpsf_field_1280_1024,0.0581672892647154,0.4472345767707262,0.412828104726201,0.03440647204452518,10.436087706831254
NGC 1380,outer,winsor_3.0,constant,stpsf_field_1280_1024,0.06711610299774853,0.4165286730117947,0.3890050110931702,0.027523661918624487,9.359738568115926
NGC 1380,outer,winsor_3.0,constant,stpsf_field_1280_1024,0.07606491673078167,0.3876198720198559,0.3639122678477483,0.0237076041721076,9.487678970979267
NGC 1380,outer,winsor_3.0,constant,stpsf_field_1280_1024,0.0850137304638148,0.35460826691641856,0.3374930739872444,0.017115192929174183,7.84481461764181
NGC 1380,outer,winsor_3.0,constant,stpsf_field_1280_1024,0.09396254419684794,0.32305677393659865,0.3119171193758237,0.011139654560774925,5.920080855793921
NGC 1380,outer,winsor_3.0,constant,stpsf_field_1280_1024,0.10291135792988108,0.29921427685392765,0.28807571199799875,0.0111385648559289,6.6528264740159315
NGC 1380,outer,winsor_3.0,constant,stpsf_field_1280_1024,0.11186017166291422,0.26767551077328217,0.2648399518468099,0.002835558926472248,2.0095995721711697
