galaxy,ring,variant,k,Pk,Pk_error,Pk_count,E_median,E_mad,N_windowed
NGC 1380,inner,winsor_3.0,0.22815616243595988,0.06704777758192433,0.00045644407990010023,22000,0.16317972063464725,0.0012663518497967497,0.5682297399395565
NGC 1380,inner,winsor_3.0,0.2371034629236446,0.058875998005130346,0.0003975386459991844,22750,0.15281478819166985,0.000745225654921076,0.5118782537156613
NGC 1380,inner,winsor_3.0,0.2460507634113293,0.05207287705573417,0.00033916717556586537,23702,0.14343179926505562,0.0012818575828508134,0.48866101387809124
NGC 1380,inner,winsor_3.0,0.254998063899014,0.046457710305915154,0.0002946789670086753,24568,0.1357455279336306,0.0006415254555378439,0.459296794407273
NGC 1380,inner,winsor_3.0,0.2639453643866987,0.041083830091376915,0.0002604709636573831,25424,0.1289031434356068,0.0005350569956717319,0.42601679373690593
NGC 1380,inner,winsor_3.0,0.2728926648743834,0.037541732912041624,0.00023248193731537764,26246,0.12217026724023719,0.0007307511814037401,0.4082939602206176
NGC 1380,inner,winsor_3.0,0.2818399653620681,0.034443055574012255,0.00021200318594209863,27102,0.11643102955483045,0.0009360140445194605,0.3861928727032299
NGC 1380,inner,winsor_3.0,0.2907872658497528,0.031191282927308047,0.00018717017178423206,28052,0.11111439274231294,0.0008240473045667054,0.3775902151125829
NGC 1380,inner,winsor_3.0,0.2997345663374375,0.02821313615599283,0.00016849986102910504,28774,0.10640578652223519,0.0002160971340038066,0.3459949418223496
NGC 1380,inner,winsor_3.0,0.3086818668251222,0.02380691516680712,0.00014000749275556624,29762,0.10115272587089878,0.0010097524108171648,0.33304854921014254
NGC 1380,inner,winsor_3.0,0.3176291673128069,0.02155872879193826,0.00012465588532013452,30604,0.0962061800455676,0.0007542895450737158,0.31649375333624297
NGC 1380,inner,winsor_3.0,0.32657646780049165,0.019546920332859992,0.0001115182087964614,31396,0.0912007955391045,0.00025591672796752954,0.29283116632259204
NGC 1380,inner,winsor_3.0,0.3355237682881763,0.017087732089923213,9.748639816954444e-05,32310,0.08624309765634756,0.0003711898805293235,0.2752690643014756
NGC 1380,inner,winsor_3.0,0.344471068775861,0.015133079869165062,8.33083442688343e-05,33150,0.08072455340527526,0.0005462881502917137,0.2701270720180868
NGC 1380,inner,winsor_3.0,0.35341836926354575,0.01287842340769701,7.068289490238204e-05,34048,0.07511417702854775,0.0004207633307456687,0.25622385088796773
NGC 1380,inner,winsor_3.0,0.3623656697512304,0.011002940019248847,5.989895532970143e-05,34826,0.06951000431000377,0.0006094290295208723,0.2332797842645429
NGC 1380,inner,winsor_3.0,0.3713129702389151,0.009238087668427769,5.016648183074906e-05,35762,0.06420157365297811,0.0003923360334485577,0.22801369315909564
NGC 1380,inner,winsor_3.0,0.38026027072659985,0.00799755933125697,4.307211795333123e-05,36576,0.058965091546365034,0.000531972603261643,0.21581005679939708
NGC 1380,inner,winsor_3.0,0.3892075712142845,0.0065660846031679095,3.429950703940958e-05,37486,0.05369961138809777,0.0003793694681112241,0.20715055158980256
NGC 1380,inner,winsor_3.0,0.3981548717019692,0.005588706917869338,2.8879145947977627e-05,38328,0.048884755236477395,0.0005580235762768683,0.19952239806375344
NGC 1380,inner,winsor_3.0,0.40710217218965394,0.004574529900382428,2.3601274751175485e-05,39182,0.04416236141229968,0.0003428514469710495,0.18621966771307302
NGC 1380,inner,winsor_3.0,0.4160494726773386,0.0038074531904040516,1.9252726637868173e-05,40048,0.039961366594594996,0.0003983927977420706,0.17634463857930915
NGC 1380,inner,winsor_3.0,0.4249967731650233,0.003103600095860618,1.5755727998633094e-05,40910,0.03595183514663197,0.0004308427151622944,0.17154663949523988
NGC 1380,inner,winsor_3.0,0.43394407365270804,0.002608417325220296,1.3013132662462406e-05,41770,0.03230888480614049,0.0002592821837431208,0.16730701255579966
NGC 1380,inner,winsor_3.0,0.4428913741403927,0.0021505916527089076,1.0825370123266056e-05,42612,0.02909238012015718,0.0002545159449202304,0.16473628558220388
NGC 1380,inner,winsor_3.0,0.4518386746280775,0.001742164885588745,8.441279771688681e-06,43498,0.026273024182007533,0.00018810164037630494,0.1545306729759492
