galaxy,tile,y0,x0,size,valid_fraction,median_wht,wht_ratio_to_outer_ring,wht_relative_mad,median_ERR,standardized_sigma,plane_0,plane_x,plane_y,accepted,selected,selection_mode
NGC 3379,y2144_x608,2144,608,512,0.7413330078125,876.262451171875,0.9919616655069228,0.002152022110398195,0.032486218959093094,0.8174485501375248,0.45285359612511333,1.7703539436919697e-05,-4.733325523114256e-05,False,False,nominal_0.80
NGC 3379,y2144_x1120,2144,1120,512,0.6922149658203125,875.5872802734375,0.9911973469537083,0.0021461887745264723,0.032124146819114685,0.8429484815845598,0.4567804007593283,2.3527091600491295e-05,-2.6266758900203888e-05,False,False,nominal_0.80
NGC 3379,y2144_x1632,2144,1632,512,0.5573234558105469,874.449951171875,0.9899098481360805,0.002253446265188468,0.03196888789534569,0.8707357515769503,0.4699024596064506,5.0860078058514965e-05,-5.212726839029688e-05,False,False,nominal_0.80
NGC 3379,y2144_x2144,2144,2144,512,0.5255241394042969,872.2647094726562,0.9874360733068689,0.002286479672609374,0.029072774574160576,0.9634354334824323,0.4638729632204562,4.870702159414992e-05,-1.0025081816023166e-05,False,False,nominal_0.80
NGC 3379,y2144_x2656,2144,2656,512,0.515106201171875,870.0780639648438,0.9849607093141495,0.002189262999269257,0.029096437618136406,1.0306327448535282,0.4832121354498156,7.213049184068483e-05,-4.202083754485758e-06,False,False,nominal_0.80
NGC 3379,y2144_x3168,2144,3168,512,0.452545166015625,867.1720275878906,0.981670968117718,0.0021953473620887026,0.02975066378712654,1.1004634795142942,0.5120128434725686,5.7748506133775844e-05,-1.8620235977058533e-05,False,False,nominal_0.80
NGC 3379,y2144_x3680,2144,3680,512,0.3816032409667969,863.613525390625,0.97764261136046,0.002301735262530457,0.031128374859690666,1.188334489388257,0.5595709386569729,5.871778291331937e-05,-5.146671754537111e-05,False,False,nominal_0.80
NGC 3379,y2144_x4192,2144,4192,512,0.033252716064453125,647.781494140625,0.7333127294829836,0.49240275280375895,0.035417985171079636,1.1741870240449317,0.5820549670927951,0.000977022216160476,-1.135349574972713e-05,False,False,nominal_0.80
NGC 3379,y2144_x5216,2144,5216,512,0.023777008056640625,862.400390625,0.9762692977134079,0.003952881446906233,0.04174288734793663,1.677516593410419,0.597830696636079,0.0006446157249624783,0.0001069740762798228,False,False,nominal_0.80
NGC 3379,y2144_x5728,2144,5728,512,0.038326263427734375,863.7633056640625,0.9778121681973421,0.0033878366562562845,0.04318030923604965,1.8793240783860459,0.8391450187162343,0.0007350438438086392,0.00030574065680184326,False,False,nominal_0.80
NGC 3379,y2144_x6240,2144,6240,512,0.007862091064453125,433.56439208984375,0.4908110074861347,0.9903586540347115,0.06304092705249786,2.0482276954821907,1.1104510669554977,0.0014615168680599854,0.000614854041242836,False,False,nominal_0.80
NGC 3379,y2656_x96,2656,96,512,0.8501052856445312,881.441162109375,0.9978241587814791,0.0022073407862822306,0.03247554786503315,0.7986721883355307,0.4345094124145463,1.4163753362306754e-05,9.005500167101643e-07,True,True,nominal_0.80
NGC 3379,y2656_x608,2656,608,512,0.8157615661621094,881.3805541992188,0.997755548374379,0.0021978416595114627,0.03274183347821236,0.8157215613771749,0.44543582131301,1.0805202583874901e-05,-5.714514178076899e-06,True,False,nominal_0.80
NGC 3379,y2656_x1120,2656,1120,512,0.7827301025390625,880.7081298828125,0.9969943390541147,0.002182566352509806,0.03245825134217739,0.8337637215272714,0.44928751521435417,1.939427597650905e-05,6.3175759403270266e-06,False,False,nominal_0.80
NGC 3379,y2656_x1632,2656,1632,512,0.6034507751464844,879.5579223632812,0.995692261388654,0.0022955043125316038,0.032435934990644455,0.9235972296502598,0.4601724327814581,3.8593531342659346e-05,2.694090426465648e-06,False,False,nominal_0.80
NGC 3379,y2656_x2144,2656,2144,512,0.5888099670410156,877.3916015625,0.9932399057197656,0.002272706464139868,0.028869904577732086,0.9752474058821923,0.460315613228446,5.092801471819884e-05,-8.257526853835975e-06,False,False,nominal_0.80
NGC 3379,y2656_x2656,2656,2656,512,0.5977973937988281,875.1835327148438,0.990740289710035,0.0022032713562382665,0.028981802985072136,1.013235324353477,0.48443848082664115,4.749747423334351e-05,-1.0078490678454855e-05,False,False,nominal_0.80
NGC 3379,y2656_x3168,2656,3168,512,0.5192222595214844,872.182373046875,0.9873428654124298,0.002268642663218808,0.02966323308646679,1.0714969736284046,0.49980284275245435,6.827286951046603e-05,1.3479189727781442e-06,False,False,nominal_0.80
NGC 3379,y2656_x3680,2656,3680,512,0.4429969787597656,868.619873046875,0.9833099829938776,0.002204606102476568,0.03113916888833046,1.2003689010728682,0.5302575313774928,6.863411515775999e-05,2.8105031266055045e-05,False,False,nominal_0.80
