galaxy,k,relative_power
NGC 1404,0.185,0.5896085346161318
NGC 1404,0.195,0.5323415563356478
NGC 1404,0.20500000000000002,0.45018077563583625
NGC 1404,0.21500000000000002,0.40747102169233895
NGC 1404,0.225,0.33114724935437395
NGC 1404,0.23500000000000001,0.2878079885572537
NGC 1404,0.245,0.2963521815166984
NGC 1404,0.255,0.2393823913543441
NGC 1404,0.265,0.21682182622535398
NGC 1404,0.275,0.20956096537156227
NGC 1404,0.28500000000000003,0.18019226378025296
NGC 1404,0.29500000000000004,0.17273513308278277
NGC 1404,0.305,0.1467856847355038
NGC 1404,0.315,0.13047000791419527
NGC 1404,0.325,0.12855708074450853
NGC 1404,0.335,0.11223910148579912
NGC 1404,0.34500000000000003,0.1014548050562135
NGC 1404,0.35500000000000004,0.10010554170397722
NGC 1404,0.365,0.08962628274559088
NGC 1404,0.375,0.07809868143689162
NGC 1404,0.385,0.0771499436001474
NGC 1404,0.395,0.07411621861380106
NGC 1404,0.405,0.06626975679690439
NGC 1404,0.41500000000000004,0.06661149990643803
NGC 1404,0.42500000000000004,0.061932416876171306
NGC 1404,0.435,0.06240630035924357
NGC 1404,0.445,0.06172172716426776
NGC 1549,0.015,7.337146307535321
NGC 1549,0.025,4.655117884551542
NGC 1549,0.035,4.850661854191501
NGC 1549,0.045,4.085011143609653
NGC 1549,0.05500000000000001,2.8818126213041575
NGC 1549,0.065,2.5584952113963206
NGC 1549,0.075,1.9708565450775304
NGC 1549,0.08499999999999999,1.9996421349344724
NGC 1549,0.095,1.9271154196349853
NGC 1549,0.105,1.5226159763316038
NGC 1549,0.11499999999999999,1.2876443124217039
NGC 1549,0.125,1.2268671422714634
NGC 1549,0.135,1.0588752571219577
NGC 1549,0.14500000000000002,1.0
NGC 1549,0.15500000000000003,0.9037597593899451
NGC 1549,0.165,0.7045228349643358
NGC 1549,0.17500000000000002,0.6385588143131553
NGC 1549,0.185,0.5470701749842095
NGC 1549,0.195,0.47605456638848503
NGC 1549,0.20500000000000002,0.44523197546322063
NGC 1549,0.21500000000000002,0.4201996639508344
NGC 1549,0.225,0.343490983485588
NGC 1549,0.23500000000000001,0.30760338660126296
NGC 1549,0.245,0.2420550431129264
NGC 1549,0.255,0.23449250083731063
