model,n,n_parameters,color_center,intercept,slope,curvature,slope_change,sigma_int,log_likelihood,aic,aicc,use_color_errors,color_error_column,use_extinction_covariance
constant,14,2,0.5674536233634047,-3.1990599017995773,0.0,,,0.0835418961546963,13.93368851341451,-23.86737702682902,-22.77646793591993,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1660143005615224,0.0,,,0.09745131625765051,12.050484474507842,-20.100968949015684,-19.010059858106594,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1860532520189357,0.0,,,0.08086705905017968,14.398860931517367,-24.797721863034734,-23.706812772125645,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1450245050107397,0.0,,,0.0959799667673361,12.316646505348974,-20.633293010697948,-19.542383919788858,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1645312909117616,0.0,,,0.08047820949497582,14.476568131626653,-24.953136263253306,-23.862227172344216,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.189813578503027,0.0,,,0.09892933248724267,11.86435759116051,-19.72871518232102,-18.63780609141193,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.165680915854921,0.0,,,0.06564992291661331,16.95819977856247,-29.91639955712494,-28.82549046621585,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1788335692076197,0.0,,,0.09272961783587581,12.670037352986743,-21.340074705973485,-20.249165615064395,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1858791235153037,0.0,,,0.07647328103179118,15.083064181789322,-26.166128363578643,-25.075219272669553,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1415491525937447,0.0,,,0.0806492190773462,14.34610952028072,-24.69221904056144,-23.60130994965235,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.150518709607126,0.0,,,0.09628952090679865,12.163167355279825,-20.32633471055965,-19.23542561965056,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1340146115653544,0.0,,,0.051873296388975705,19.480983092954048,-34.961966185908096,-33.871057094999,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.181962117935085,0.0,,,0.08564121895469813,13.689285674087866,-23.378571348175733,-22.287662257266643,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.161297429291072,0.0,,,0.10024304980861082,11.662731767759022,-19.325463535518043,-18.234554444608953,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.2001203373246203,0.0,,,0.03921797839338732,21.879967340784308,-39.759934681568616,-38.66902559065952,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.17036187785576,0.0,,,0.07162704365997344,15.887020687391459,-27.774041374782918,-26.683132283873828,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1516184185357896,0.0,,,0.08456010286697117,13.820559447751306,-23.64111889550261,-22.55020980459352,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.211624830929121,0.0,,,0.06464443411747246,17.129325807993162,-30.258651615986324,-29.167742525077234,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1868875799946714,0.0,,,0.09284672159389981,12.642215796515849,-21.284431593031698,-20.193522502122608,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.2005296549103393,0.0,,,0.07831062407236904,14.805427737361933,-25.610855474723866,-24.519946383814776,True,sigma_color_stat_mag,True
